"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"1",1774,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1.58,0.06
"2",1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249583333333333,1.575,0.06
"3",1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249166666666667,1.57,0.06
"4",1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24875,1.565,0.06
"5",1778,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248333333333333,1.56,0.06
"6",1779,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247916666666667,1.555,0.06
"7",1780,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2475,1.55,0.06
"8",1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247083333333333,1.545,0.06
"9",1782,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246666666666667,1.54,0.06
"10",1783,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24625,1.535,0.06
"11",1784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245833333333333,1.53,0.06
"12",1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245416666666667,1.525,0.06
"13",1786,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,1.52,0.06
"14",1787,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244583333333333,1.515,0.06
"15",1788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244166666666667,1.51,0.06
"16",1789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24375,1.505,0.06
"17",1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243333333333333,1.5,0.06
"18",1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242916666666667,1.495,0.06
"19",1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2425,1.49,0.06
"20",1793,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242083333333333,1.485,0.06
"21",1794,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241666666666667,1.48,0.06
"22",1795,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24125,1.475,0.06
"23",1796,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240833333333333,1.47,0.06
"24",1797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240416666666667,1.465,0.06
"25",1798,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1.46,0.06
"26",1799,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238,1.452,0.059
"27",1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236,1.444,0.058
