"","year","fish_density"
"1",1950,0.071428571
"2",1951,0.071428571
"3",1952,0.071428571
"4",1953,0.071428571
"5",1954,0.071428571
"6",1955,0.071428571
"7",1956,0.071428571
"8",1957,0.071428571
"9",1958,0.114285714
"10",1959,0.428571429
"11",1960,0.428571429
"12",1961,0.428571429
"13",1962,0.428571429
"14",1963,0.428571429
"15",1964,0.428571429
"16",1965,0.428571429
"17",1966,0.428571429
"18",1967,0.428571429
"19",1968,0.428571429
"20",1969,0.428571429
"21",1970,0.428571429
"22",1971,0.428571429
"23",1972,0.428571429
"24",1973,0.571428571
"25",1974,0.857142857
"26",1975,1
"27",1976,1
"28",1977,0.428571429
"29",1978,0.428571429
"30",1979,0.428571429
"31",1980,0.214285714
"32",1981,0.185714286
"33",1982,0.157142857
"34",1983,0.128571429
"35",1984,0.1
"36",1985,0.057142857
"37",1986,0.071428571
"38",1987,0.085714286
"39",1988,0.114285714
"40",1989,0.128571429
"41",1990,0.142857143
"42",1991,0.142857143
"43",1992,0.114285714
"44",1993,0.1
"45",1994,0.085714286
"46",1995,0.071428571
"47",1996,0.071428571
"48",1997,0.071428571
"49",1998,0.071428571
"50",1999,0.071428571
"51",2000,0.071428571
"52",2001,0.071428571
"53",2002,0.071428571
"54",2003,0.071428571
"55",2004,0.071428571
"56",2005,0.071428571
"57",2006,0.071428571
"58",2007,0.071428571
"59",2008,0.071428571
"60",2009,0.071428571
"61",2010,0.071428571
