"","Year.Collected","Contracaecum_sp_all","Cope_fs_SC","Ascarophis_sebastodis_all","Echinorhynchus_sp_SC","Opechona_sp_SC","Trem_sp3_SC","Lecithochirium_sp_SC","Derogenes_varicus_all","Corynosoma_sp_SC","Trem_sp1_SC","Microcotyle_sp2_SC","Microcotyle_sp_SC","Metacercaria_sp1_SC","Cope_thb_SC","Cope_una_SC","longjitt","latjitt","site","Fish.ID","Standard.Length..mm.","Total.Length..mm.","long","lat","temp_na_rm","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"1",1895,5,0,66,0,0,0,2,0,2,0,1,0,0,0,0,-122.995428962848,48.5538316112768,"48.553838 -122.995113","CAS-SU 021340_01",182,221,-122.995113,48.553838,NA,21.22,10.402,88.84,40.98,112.2,71.16,39.4,408.6,1.206,0.39,2.244,0.048
"2",1895,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,-122.994511909619,48.553801457959,"48.553838 -122.995113","CAS-SU 021340_02",163,199,-122.995113,48.553838,NA,21.22,10.402,88.84,40.98,112.2,71.16,39.4,408.6,1.206,0.39,2.244,0.048
"3",1929,9,0,5,0,101,0,0,0,0,0,1,0,0,0,0,-122.450415707549,47.5829363543393,"47.58291 -122.4509","UW 000755_02",158,190,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"4",1929,0,0,3,0,26,0,0,0,0,1,0,0,0,0,0,-122.451117845814,47.5829057941799,"47.58291 -122.4509","UW 000755_03",64,76,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"5",1929,0,0,1,0,162,0,0,0,0,0,0,0,0,0,0,-122.452429444588,47.5828722669161,"47.58291 -122.4509","UW 000755_04",95,104,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"6",1929,1,2,7,0,0,0,0,0,0,0,0,0,1,0,0,-122.450975186618,47.5828848520732,"47.58291 -122.4509","UW 000755_05",50,60,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"7",1929,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,-122.450005743721,47.582899916375,"47.58291 -122.4509","UW 000755_06",50,59,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"8",1929,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-122.450899472601,47.582922320883,"47.58291 -122.4509","UW 000755_07",47,55,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"9",1929,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-122.450352885001,47.5829434783648,"47.58291 -122.4509","UW 000755_08",49,58,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"10",1929,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-122.449408262536,47.5828700598169,"47.58291 -122.4509","UW 000755_09",55,67,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"11",1929,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-122.449311482485,47.5829216295508,"47.58291 -122.4509","UW 000755_10",53,64,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"12",1929,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,-122.449232659027,47.5829460618282,"47.58291 -122.4509","UW 000755_11",46,56,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"13",1929,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.450283155215,47.5829401772465,"47.58291 -122.4509","UW 000755_12",51,62,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"14",1929,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-122.450219917493,47.5828725816675,"47.58291 -122.4509","UW 000755_13",51,61,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"15",1929,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-122.451324812956,47.5829256247533,"47.58291 -122.4509","UW 000755_14",47,55,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"16",1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.451204761493,47.582946288893,"47.58291 -122.4509","UW 000755_15",48,60,-122.4509,47.58291,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"17",1930,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,-123.002136444041,48.541373138765,"48.54135296 -123.0031308","UW 001052_01",87,102,-123.0031308,48.54135296,8.876666667,44.8,18,100.35,43.85,117,77.15,40.6,416.5,1.235,0.606666666666667,2.82,0.03
"18",1930,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-123.003291641098,48.5413667985554,"48.54135296 -123.0031308","UW 001052_02",86,102,-123.0031308,48.54135296,8.876666667,44.8,18,100.35,43.85,117,77.15,40.6,416.5,1.235,0.606666666666667,2.82,0.03
"19",1935,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,-122.313428079608,47.9465390406766,"47.946554 -122.31285","UW 004545_01",115,135,-122.31285,47.946554,8.943333333,44.6,16.9666666666667,113,43.2666666666667,117,78.8666666666667,50.4,417,1.19333333333333,0.646,3.146,0.029
"20",1935,2,0,3,0,0,0,0,0,0,0,6,0,0,0,1,-122.312223918909,47.94651854142,"47.946554 -122.31285","UW 004545_02",97,115,-122.31285,47.946554,8.943333333,44.6,16.9666666666667,113,43.2666666666667,117,78.8666666666667,50.4,417,1.19333333333333,0.646,3.146,0.029
"21",1935,6,0,0,0,0,0,0,0,0,0,6,0,0,0,2,-122.314467065827,47.9465579442401,"47.946554 -122.31285","UW 004545_03",97,117,-122.31285,47.946554,8.943333333,44.6,16.9666666666667,113,43.2666666666667,117,78.8666666666667,50.4,417,1.19333333333333,0.646,3.146,0.029
"22",1935,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-122.311530191607,47.9465158380076,"47.946554 -122.31285","UW 004545_04",100,123,-122.31285,47.946554,8.943333333,44.6,16.9666666666667,113,43.2666666666667,117,78.8666666666667,50.4,417,1.19333333333333,0.646,3.146,0.029
"23",1937,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,-122.858464970518,47.7972455316929,"47.79726831 -122.8569154","UW 007248_01",106,127,-122.8569154,47.79726831,9.274166667,40.9,14.9,116,44.9,120,84.9,47,427,1.23,0.658,3.178,0.027
"24",1937,13,0,0,3,0,6,0,0,0,0,0,0,0,0,1,-122.855658833946,47.7972928328123,"47.79726831 -122.8569154","UW 007248_02",92,116,-122.8569154,47.79726831,9.274166667,40.9,14.9,116,44.9,120,84.9,47,427,1.23,0.658,3.178,0.027
