"","Year.Collected","Metacercaria_sp2_HP","Lecithaster_sp_HP","Echinorhynchus_gadi_all","Cest_Cysticerci_HP","Cope_sp1_HP","Contracaecum_sp_all","Nem_unkn_all","Pronoprymna_petrowi_all","longjitt","latjitt","site","Fish.ID","Standard.Length..mm.","Total.Length..mm.","long","lat","fish_density","temp_na_rm","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"1",1880,0,0,0,0,0,0,0,0,NA,NA,"NA NA","ANSP 7715_01",128,145,NA,NA,NA,NA,11.9,9.546,80.14,38.24,107.4,65.98,34.28,389,1.134,0.279285714285714,1.57571428571429,0.05
"2",1900,0,0,0,0,0,0,0,1,-122.963484029579,48.6005546090657,"48.600556 -122.961944","FMNH 52282_01",60,69,-122.961944,48.600556,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"3",1909,0,1,0,0,1,2,0,10,NA,NA,"NA NA","CAS-SU 003397_01",150,170,NA,NA,NA,NA,36.5666666666667,13.0666666666667,98.2,42.2666666666667,116.333333333333,75.3333333333333,46.1666666666667,415.333333333333,1.21,0.421666666666667,2,0.04
"4",1921,0,4,0,0,1,3,0,4,NA,NA,"NA NA","CAS-SU 031694_04",139,163,NA,NA,NA,8.990909091,37.2,13.3,107,44.8,119,82.1,44.4,426,1.22,0.546666666666667,2.51666666666667,0.03
"5",1921,0,0,0,0,1,0,0,50,NA,NA,"NA NA","CAS-SU 031694_01",141.5,167,NA,NA,NA,8.990909091,37.2,13.3,107,44.8,119,82.1,44.4,426,1.22,0.546666666666667,2.51666666666667,0.03
"6",1921,0,11,3,0,0,4,0,6,NA,NA,"NA NA","CAS-SU 031694_02",140,168,NA,NA,NA,8.990909091,37.2,13.3,107,44.8,119,82.1,44.4,426,1.22,0.546666666666667,2.51666666666667,0.03
"7",1921,0,2,1,10,0,9,0,47,NA,NA,"NA NA","CAS-SU 031694_03",130,154,NA,NA,NA,8.990909091,37.2,13.3,107,44.8,119,82.1,44.4,426,1.22,0.546666666666667,2.51666666666667,0.03
"8",1928,1,0,0,0,0,0,1,0,-122.414833000432,47.6748254528663,"47.674815 -122.415789","UW 000505_01",109,126,-122.415789,47.674815,NA,9.0675,38.7,14,114,45.1,120,84,45,424,1.18,0.6,2.8,0.03
"9",1929,0,8,0,38,0,6,0,10,-122.403481003102,47.5310800937066,"47.53107808 -122.4032822","UW 000181_02",106,121,-122.4032822,47.53107808,NA,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"10",1929,0,1,0,0,0,0,0,12,NA,NA,"NA NA","CAS-ICH 010932_01",69,86,NA,NA,NA,8.874166667,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
