Year,Cormorant_Abund,GBH_Abund,Merganser_Abund,Goose_Abund
1967,3.4,5.07,9.77,76.29
1968,3.37,5.05,9.57,68.62
1969,3.52,5.04,10.96,57.78
1970,3.73,5.26,8.98,50.04
1971,3.71,5.22,9.42,41.83
1972,3.98,5.41,8.88,35.77
1973,3.91,5.41,9.58,31.31
1974,4.39,5.69,8.89,27.42
1975,4.45,5.75,8.34,23.95
1976,4.78,5.81,8.53,21.01
1977,4.76,5.95,8.99,18.92
1978,5.6,6.25,9.53,17.24
1979,5.65,6.26,9.08,15.27
1980,7.27,6.49,8.88,13.89
1981,7.08,6.92,8.75,12.34
1982,9.76,7.25,9.2,11.89
1983,9.92,7.08,9.45,10.75
1984,10.35,7.56,9.5,11.45
1985,15.33,7.4,9.48,10.27
1986,14.51,7.77,9.83,9.54
1987,17.94,8.36,9.92,10.56
1988,21.61,8.79,10.36,11.48
1989,22.37,9,10.44,10.87
1990,25.07,8.9,10.96,12.09
1991,26.35,8.76,10.94,11.95
1992,35.62,8.88,11.07,11.69
1993,27.32,9.39,12.23,13.44
1994,33.34,9.98,12.12,13.87
1995,33.15,9.39,12,15.94
1996,29.4,9.77,11.26,15.53
1997,33.6,8.57,12.23,18.78
1998,34.48,9.24,12.15,18.56
1999,43.51,9.82,11.89,21.17
2000,53.28,10.55,12.34,23.26
2001,61.4,9.81,12.55,19.13
2002,56.91,9.41,12.73,24.6
2003,53.79,9.74,13.25,26.29
2004,56.05,9.76,13.32,26.4
2005,60.39,9.72,13.58,16.25
2006,55.72,9.83,13.39,16.13
2007,46.92,10.28,15.21,16.46
2008,49.87,9.59,13.64,14.74
2009,45.48,9.2,13.59,14.87
2010,68.65,9.61,13.52,15.46
2011,43.73,10.04,14.92,17.75
2012,59.99,10.05,15.07,19.11
2013,54.05,10.08,15.63,19.85
2014,64.05,9.67,16.64,18.58
2015,57.57,9.32,16.15,18.03
2016,58.33,8.89,17.15,20.35
2017,54,9.59,16.7,20.81
2018,63.93,9.7,17.29,23.17
2019,73,9.19,18.56,23.28
